id;Date;Renewable Generation [GWh];Energy Source
1;01/01/2021 00:00;1.47;Biomass
2;01/01/2021 00:00;0.62;Geothermal
3;01/01/2021 00:00;3.65;Hydro
4;01/01/2021 00:00;0.00;Photovoltaic
5;01/01/2021 00:00;2.65;Wind
6;01/01/2021 01:00;1.44;Biomass
7;01/01/2021 01:00;0.62;Geothermal
8;01/01/2021 01:00;3.29;Hydro
9;01/01/2021 01:00;0.00;Photovoltaic
10;01/01/2021 01:00;2.81;Wind
11;01/01/2021 02:00;1.40;Biomass
12;01/01/2021 02:00;0.62;Geothermal
13;01/01/2021 02:00;3.07;Hydro
14;01/01/2021 02:00;0.00;Photovoltaic
15;01/01/2021 02:00;2.68;Wind
16;01/01/2021 03:00;1.27;Biomass
17;01/01/2021 03:00;0.62;Geothermal
18;01/01/2021 03:00;2.90;Hydro
19;01/01/2021 03:00;0.00;Photovoltaic
20;01/01/2021 03:00;2.69;Wind
21;01/01/2021 04:00;1.26;Biomass
22;01/01/2021 04:00;0.62;Geothermal
23;01/01/2021 04:00;2.89;Hydro
24;01/01/2021 04:00;0.00;Photovoltaic
25;01/01/2021 04:00;2.66;Wind
26;01/01/2021 05:00;1.29;Biomass
27;01/01/2021 05:00;0.62;Geothermal
28;01/01/2021 05:00;2.97;Hydro
29;01/01/2021 05:00;0.00;Photovoltaic
30;01/01/2021 05:00;2.54;Wind
31;01/01/2021 06:00;1.31;Biomass
32;01/01/2021 06:00;0.62;Geothermal
33;01/01/2021 06:00;3.04;Hydro
34;01/01/2021 06:00;0.00;Photovoltaic
35;01/01/2021 06:00;2.59;Wind
36;01/01/2021 07:00;1.27;Biomass
37;01/01/2021 07:00;0.62;Geothermal
38;01/01/2021 07:00;3.16;Hydro
39;01/01/2021 07:00;0.10;Photovoltaic
40;01/01/2021 07:00;2.47;Wind
41;01/01/2021 08:00;1.20;Biomass
42;01/01/2021 08:00;0.62;Geothermal
43;01/01/2021 08:00;3.81;Hydro
44;01/01/2021 08:00;1.05;Photovoltaic
45;01/01/2021 08:00;2.45;Wind
46;01/01/2021 09:00;1.20;Biomass
47;01/01/2021 09:00;0.61;Geothermal
48;01/01/2021 09:00;3.90;Hydro
49;01/01/2021 09:00;2.56;Photovoltaic
50;01/01/2021 09:00;2.36;Wind
51;01/01/2021 10:00;1.21;Biomass
52;01/01/2021 10:00;0.60;Geothermal
53;01/01/2021 10:00;3.82;Hydro
54;01/01/2021 10:00;2.83;Photovoltaic
55;01/01/2021 10:00;2.62;Wind
56;01/01/2021 11:00;1.22;Biomass
57;01/01/2021 11:00;0.60;Geothermal
58;01/01/2021 11:00;3.97;Hydro
59;01/01/2021 11:00;3.44;Photovoltaic
60;01/01/2021 11:00;2.86;Wind
61;01/01/2021 12:00;1.27;Biomass
62;01/01/2021 12:00;0.58;Geothermal
63;01/01/2021 12:00;4.99;Hydro
64;01/01/2021 12:00;3.90;Photovoltaic
65;01/01/2021 12:00;3.13;Wind
66;01/01/2021 13:00;1.29;Biomass
67;01/01/2021 13:00;0.58;Geothermal
68;01/01/2021 13:00;4.35;Hydro
69;01/01/2021 13:00;3.25;Photovoltaic
70;01/01/2021 13:00;3.43;Wind
71;01/01/2021 14:00;1.25;Biomass
72;01/01/2021 14:00;0.58;Geothermal
73;01/01/2021 14:00;3.54;Hydro
74;01/01/2021 14:00;2.13;Photovoltaic
75;01/01/2021 14:00;3.69;Wind
76;01/01/2021 15:00;1.30;Biomass
77;01/01/2021 15:00;0.58;Geothermal
78;01/01/2021 15:00;3.78;Hydro
79;01/01/2021 15:00;0.92;Photovoltaic
80;01/01/2021 15:00;3.50;Wind
81;01/01/2021 16:00;1.45;Biomass
82;01/01/2021 16:00;0.56;Geothermal
83;01/01/2021 16:00;4.43;Hydro
84;01/01/2021 16:00;0.10;Photovoltaic
85;01/01/2021 16:00;3.09;Wind
86;01/01/2021 17:00;1.51;Biomass
87;01/01/2021 17:00;0.57;Geothermal
