id;Date;Renewable Generation [GWh];Energy Source
88;01/01/2021 17:00;5.44;Hydro
89;01/01/2021 17:00;0.00;Photovoltaic
90;01/01/2021 17:00;3.05;Wind
91;01/01/2021 18:00;1.53;Biomass
92;01/01/2021 18:00;0.60;Geothermal
93;01/01/2021 18:00;5.70;Hydro
94;01/01/2021 18:00;0.00;Photovoltaic
95;01/01/2021 18:00;3.19;Wind
96;01/01/2021 19:00;1.57;Biomass
97;01/01/2021 19:00;0.61;Geothermal
98;01/01/2021 19:00;5.55;Hydro
99;01/01/2021 19:00;0.00;Photovoltaic
100;01/01/2021 19:00;3.54;Wind
101;01/01/2021 20:00;1.56;Biomass
102;01/01/2021 20:00;0.61;Geothermal
103;01/01/2021 20:00;4.87;Hydro
104;01/01/2021 20:00;0.00;Photovoltaic
105;01/01/2021 20:00;3.71;Wind
106;01/01/2021 21:00;1.55;Biomass
107;01/01/2021 21:00;0.61;Geothermal
108;01/01/2021 21:00;4.55;Hydro
109;01/01/2021 21:00;0.00;Photovoltaic
110;01/01/2021 21:00;3.85;Wind
111;01/01/2021 22:00;1.55;Biomass
112;01/01/2021 22:00;0.62;Geothermal
113;01/01/2021 22:00;4.08;Hydro
114;01/01/2021 22:00;0.00;Photovoltaic
115;01/01/2021 22:00;3.92;Wind
116;01/01/2021 23:00;1.46;Biomass
117;01/01/2021 23:00;0.62;Geothermal
118;01/01/2021 23:00;3.57;Hydro
119;01/01/2021 23:00;0.00;Photovoltaic
120;01/01/2021 23:00;4.11;Wind
121;02/01/2021 00:00;1.72;Biomass
122;02/01/2021 00:00;0.62;Geothermal
123;02/01/2021 00:00;3.18;Hydro
124;02/01/2021 00:00;0.00;Photovoltaic
125;02/01/2021 00:00;4.21;Wind
126;02/01/2021 01:00;1.65;Biomass
127;02/01/2021 01:00;0.62;Geothermal
128;02/01/2021 01:00;3.04;Hydro
129;02/01/2021 01:00;0.00;Photovoltaic
130;02/01/2021 01:00;4.34;Wind
131;02/01/2021 02:00;1.58;Biomass
132;02/01/2021 02:00;0.62;Geothermal
133;02/01/2021 02:00;2.98;Hydro
134;02/01/2021 02:00;0.00;Photovoltaic
135;02/01/2021 02:00;4.34;Wind
136;02/01/2021 03:00;1.47;Biomass
137;02/01/2021 03:00;0.61;Geothermal
138;02/01/2021 03:00;2.96;Hydro
139;02/01/2021 03:00;0.00;Photovoltaic
140;02/01/2021 03:00;4.36;Wind
141;02/01/2021 04:00;1.44;Biomass
142;02/01/2021 04:00;0.61;Geothermal
143;02/01/2021 04:00;2.91;Hydro
144;02/01/2021 04:00;0.00;Photovoltaic
145;02/01/2021 04:00;4.54;Wind
146;02/01/2021 05:00;1.48;Biomass
147;02/01/2021 05:00;0.61;Geothermal
148;02/01/2021 05:00;2.97;Hydro
149;02/01/2021 05:00;0.00;Photovoltaic
150;02/01/2021 05:00;4.68;Wind
151;02/01/2021 06:00;1.56;Biomass
152;02/01/2021 06:00;0.62;Geothermal
153;02/01/2021 06:00;3.20;Hydro
154;02/01/2021 06:00;0.00;Photovoltaic
155;02/01/2021 06:00;4.72;Wind
156;02/01/2021 07:00;1.64;Biomass
157;02/01/2021 07:00;0.62;Geothermal
158;02/01/2021 07:00;3.64;Hydro
159;02/01/2021 07:00;0.03;Photovoltaic
160;02/01/2021 07:00;4.88;Wind
161;02/01/2021 08:00;1.73;Biomass
162;02/01/2021 08:00;0.62;Geothermal
163;02/01/2021 08:00;4.25;Hydro
164;02/01/2021 08:00;0.36;Photovoltaic
165;02/01/2021 08:00;4.98;Wind
166;02/01/2021 09:00;1.76;Biomass
167;02/01/2021 09:00;0.62;Geothermal
168;02/01/2021 09:00;4.36;Hydro
169;02/01/2021 09:00;1.59;Photovoltaic
170;02/01/2021 09:00;4.83;Wind
171;02/01/2021 10:00;1.76;Biomass
172;02/01/2021 10:00;0.62;Geothermal
173;02/01/2021 10:00;4.47;Hydro
174;02/01/2021 10:00;2.58;Photovoltaic
175;02/01/2021 10:00;5.16;Wind
176;02/01/2021 11:00;1.81;Biomass
177;02/01/2021 11:00;0.62;Geothermal
178;02/01/2021 11:00;4.35;Hydro
179;02/01/2021 11:00;2.92;Photovoltaic
180;02/01/2021 11:00;5.44;Wind
181;02/01/2021 12:00;1.78;Biomass
182;02/01/2021 12:00;0.62;Geothermal
183;02/01/2021 12:00;4.50;Hydro
184;02/01/2021 12:00;2.51;Photovoltaic
185;02/01/2021 12:00;5.95;Wind
186;02/01/2021 13:00;1.77;Biomass
187;02/01/2021 13:00;0.62;Geothermal
188;02/01/2021 13:00;3.91;Hydro
189;02/01/2021 13:00;2.37;Photovoltaic
190;02/01/2021 13:00;5.29;Wind
191;02/01/2021 14:00;1.69;Biomass
192;02/01/2021 14:00;0.62;Geothermal
193;02/01/2021 14:00;3.89;Hydro
194;02/01/2021 14:00;1.93;Photovoltaic
195;02/01/2021 14:00;5.08;Wind
196;02/01/2021 15:00;1.71;Biomass
197;02/01/2021 15:00;0.62;Geothermal
198;02/01/2021 15:00;4.10;Hydro
199;02/01/2021 15:00;0.90;Photovoltaic
200;02/01/2021 15:00;4.87;Wind
201;02/01/2021 16:00;1.86;Biomass
202;02/01/2021 16:00;0.62;Geothermal
203;02/01/2021 16:00;5.33;Hydro
204;02/01/2021 16:00;0.10;Photovoltaic
205;02/01/2021 16:00;4.59;Wind
206;02/01/2021 17:00;1.90;Biomass
207;02/01/2021 17:00;0.62;Geothermal
208;02/01/2021 17:00;8.30;Hydro
209;02/01/2021 17:00;0.00;Photovoltaic
210;02/01/2021 17:00;4.46;Wind
211;02/01/2021 18:00;1.94;Biomass
212;02/01/2021 18:00;0.62;Geothermal
213;02/01/2021 18:00;8.81;Hydro
214;02/01/2021 18:00;0.00;Photovoltaic
215;02/01/2021 18:00;4.29;Wind
216;02/01/2021 19:00;1.96;Biomass
217;02/01/2021 19:00;0.62;Geothermal
218;02/01/2021 19:00;7.70;Hydro
219;02/01/2021 19:00;0.00;Photovoltaic
220;02/01/2021 19:00;4.18;Wind
221;02/01/2021 20:00;1.90;Biomass
222;02/01/2021 20:00;0.62;Geothermal
223;02/01/2021 20:00;5.97;Hydro
224;02/01/2021 20:00;0.00;Photovoltaic
225;02/01/2021 20:00;3.88;Wind
226;02/01/2021 21:00;1.95;Biomass
227;02/01/2021 21:00;0.62;Geothermal
228;02/01/2021 21:00;4.91;Hydro
229;02/01/2021 21:00;0.00;Photovoltaic
230;02/01/2021 21:00;3.50;Wind
231;02/01/2021 22:00;1.85;Biomass
232;02/01/2021 22:00;0.62;Geothermal
233;02/01/2021 22:00;4.19;Hydro
234;02/01/2021 22:00;0.00;Photovoltaic
235;02/01/2021 22:00;3.37;Wind
236;02/01/2021 23:00;1.71;Biomass
237;02/01/2021 23:00;0.62;Geothermal
238;02/01/2021 23:00;3.97;Hydro
239;02/01/2021 23:00;0.00;Photovoltaic
240;02/01/2021 23:00;3.09;Wind
241;03/01/2021 00:00;1.46;Biomass
242;03/01/2021 00:00;0.62;Geothermal
243;03/01/2021 00:00;3.37;Hydro
244;03/01/2021 00:00;0.00;Photovoltaic
245;03/01/2021 00:00;3.00;Wind
246;03/01/2021 01:00;1.32;Biomass
247;03/01/2021 01:00;0.62;Geothermal
248;03/01/2021 01:00;3.32;Hydro
249;03/01/2021 01:00;0.00;Photovoltaic
250;03/01/2021 01:00;3.22;Wind
251;03/01/2021 02:00;1.29;Biomass
252;03/01/2021 02:00;0.62;Geothermal
253;03/01/2021 02:00;3.07;Hydro
254;03/01/2021 02:00;0.00;Photovoltaic
255;03/01/2021 02:00;3.28;Wind
256;03/01/2021 03:00;1.29;Biomass
257;03/01/2021 03:00;0.62;Geothermal
258;03/01/2021 03:00;2.99;Hydro
259;03/01/2021 03:00;0.00;Photovoltaic
260;03/01/2021 03:00;3.01;Wind
261;03/01/2021 04:00;1.38;Biomass
262;03/01/2021 04:00;0.62;Geothermal
263;03/01/2021 04:00;3.18;Hydro
264;03/01/2021 04:00;0.00;Photovoltaic
265;03/01/2021 04:00;2.78;Wind
266;03/01/2021 05:00;1.43;Biomass
267;03/01/2021 05:00;0.62;Geothermal
268;03/01/2021 05:00;3.14;Hydro
269;03/01/2021 05:00;0.00;Photovoltaic
270;03/01/2021 05:00;3.19;Wind
271;03/01/2021 06:00;1.44;Biomass
272;03/01/2021 06:00;0.62;Geothermal
273;03/01/2021 06:00;3.11;Hydro
274;03/01/2021 06:00;0.00;Photovoltaic
275;03/01/2021 06:00;3.48;Wind
276;03/01/2021 07:00;1.47;Biomass
277;03/01/2021 07:00;0.62;Geothermal
278;03/01/2021 07:00;3.39;Hydro
279;03/01/2021 07:00;0.07;Photovoltaic
280;03/01/2021 07:00;3.11;Wind
281;03/01/2021 08:00;1.47;Biomass
282;03/01/2021 08:00;0.62;Geothermal
283;03/01/2021 08:00;3.68;Hydro
284;03/01/2021 08:00;0.70;Photovoltaic
285;03/01/2021 08:00;3.27;Wind
286;03/01/2021 09:00;1.50;Biomass
287;03/01/2021 09:00;0.62;Geothermal
288;03/01/2021 09:00;3.82;Hydro
289;03/01/2021 09:00;2.08;Photovoltaic
290;03/01/2021 09:00;3.61;Wind
291;03/01/2021 10:00;1.49;Biomass
292;03/01/2021 10:00;0.62;Geothermal
293;03/01/2021 10:00;4.02;Hydro
294;03/01/2021 10:00;3.54;Photovoltaic
295;03/01/2021 10:00;3.16;Wind
296;03/01/2021 11:00;1.63;Biomass
297;03/01/2021 11:00;0.62;Geothermal
298;03/01/2021 11:00;4.09;Hydro
299;03/01/2021 11:00;4.95;Photovoltaic
300;03/01/2021 11:00;3.06;Wind
301;03/01/2021 12:00;1.64;Biomass
302;03/01/2021 12:00;0.62;Geothermal
303;03/01/2021 12:00;4.10;Hydro
304;03/01/2021 12:00;4.63;Photovoltaic
305;03/01/2021 12:00;4.00;Wind
306;03/01/2021 13:00;1.53;Biomass
307;03/01/2021 13:00;0.62;Geothermal
308;03/01/2021 13:00;3.73;Hydro
309;03/01/2021 13:00;3.49;Photovoltaic
310;03/01/2021 13:00;4.19;Wind
311;03/01/2021 14:00;1.48;Biomass
312;03/01/2021 14:00;0.62;Geothermal
313;03/01/2021 14:00;3.73;Hydro
314;03/01/2021 14:00;2.65;Photovoltaic
315;03/01/2021 14:00;3.66;Wind
316;03/01/2021 15:00;1.63;Biomass
317;03/01/2021 15:00;0.62;Geothermal
318;03/01/2021 15:00;3.93;Hydro
319;03/01/2021 15:00;1.21;Photovoltaic
320;03/01/2021 15:00;3.67;Wind
321;03/01/2021 16:00;1.73;Biomass
322;03/01/2021 16:00;0.62;Geothermal
323;03/01/2021 16:00;4.70;Hydro
324;03/01/2021 16:00;0.10;Photovoltaic
325;03/01/2021 16:00;4.02;Wind
326;03/01/2021 17:00;1.87;Biomass
327;03/01/2021 17:00;0.62;Geothermal
328;03/01/2021 17:00;5.22;Hydro
329;03/01/2021 17:00;0.00;Photovoltaic
330;03/01/2021 17:00;3.50;Wind
331;03/01/2021 18:00;1.90;Biomass
332;03/01/2021 18:00;0.62;Geothermal
333;03/01/2021 18:00;6.02;Hydro
334;03/01/2021 18:00;0.00;Photovoltaic
335;03/01/2021 18:00;3.20;Wind
336;03/01/2021 19:00;1.88;Biomass
337;03/01/2021 19:00;0.62;Geothermal
338;03/01/2021 19:00;7.33;Hydro
339;03/01/2021 19:00;0.00;Photovoltaic
340;03/01/2021 19:00;2.80;Wind
341;03/01/2021 20:00;1.87;Biomass
342;03/01/2021 20:00;0.62;Geothermal
343;03/01/2021 20:00;6.59;Hydro
344;03/01/2021 20:00;0.00;Photovoltaic
345;03/01/2021 20:00;2.89;Wind
346;03/01/2021 21:00;1.88;Biomass
347;03/01/2021 21:00;0.62;Geothermal
348;03/01/2021 21:00;5.35;Hydro
349;03/01/2021 21:00;0.00;Photovoltaic
350;03/01/2021 21:00;2.78;Wind
351;03/01/2021 22:00;1.80;Biomass
352;03/01/2021 22:00;0.62;Geothermal
353;03/01/2021 22:00;4.56;Hydro
354;03/01/2021 22:00;0.00;Photovoltaic
355;03/01/2021 22:00;2.69;Wind
356;03/01/2021 23:00;1.58;Biomass
357;03/01/2021 23:00;0.62;Geothermal
358;03/01/2021 23:00;4.18;Hydro
359;03/01/2021 23:00;0.00;Photovoltaic
360;03/01/2021 23:00;2.31;Wind
361;04/01/2021 00:00;1.49;Biomass
362;04/01/2021 00:00;0.62;Geothermal
363;04/01/2021 00:00;3.40;Hydro
364;04/01/2021 00:00;0.00;Photovoltaic
365;04/01/2021 00:00;2.05;Wind
366;04/01/2021 01:00;1.48;Biomass
367;04/01/2021 01:00;0.62;Geothermal
368;04/01/2021 01:00;3.16;Hydro
369;04/01/2021 01:00;0.00;Photovoltaic
370;04/01/2021 01:00;1.69;Wind
371;04/01/2021 02:00;1.60;Biomass
372;04/01/2021 02:00;0.62;Geothermal
373;04/01/2021 02:00;3.07;Hydro
374;04/01/2021 02:00;0.00;Photovoltaic
375;04/01/2021 02:00;1.18;Wind
376;04/01/2021 03:00;1.56;Biomass
377;04/01/2021 03:00;0.62;Geothermal
378;04/01/2021 03:00;3.06;Hydro
379;04/01/2021 03:00;0.00;Photovoltaic
380;04/01/2021 03:00;0.92;Wind
381;04/01/2021 04:00;1.60;Biomass
382;04/01/2021 04:00;0.62;Geothermal
383;04/01/2021 04:00;3.37;Hydro
384;04/01/2021 04:00;0.00;Photovoltaic
385;04/01/2021 04:00;0.99;Wind
386;04/01/2021 05:00;1.63;Biomass
387;04/01/2021 05:00;0.62;Geothermal
388;04/01/2021 05:00;3.29;Hydro
389;04/01/2021 05:00;0.00;Photovoltaic
390;04/01/2021 05:00;1.17;Wind
391;04/01/2021 06:00;1.56;Biomass
392;04/01/2021 06:00;0.62;Geothermal
393;04/01/2021 06:00;3.92;Hydro
394;04/01/2021 06:00;0.00;Photovoltaic
395;04/01/2021 06:00;1.12;Wind
396;04/01/2021 07:00;1.64;Biomass
397;04/01/2021 07:00;0.62;Geothermal
398;04/01/2021 07:00;5.58;Hydro
399;04/01/2021 07:00;0.04;Photovoltaic
400;04/01/2021 07:00;1.06;Wind
401;04/01/2021 08:00;1.70;Biomass
402;04/01/2021 08:00;0.62;Geothermal
403;04/01/2021 08:00;6.91;Hydro
404;04/01/2021 08:00;0.74;Photovoltaic
405;04/01/2021 08:00;1.07;Wind
406;04/01/2021 09:00;1.80;Biomass
407;04/01/2021 09:00;0.62;Geothermal
408;04/01/2021 09:00;9.06;Hydro
409;04/01/2021 09:00;2.17;Photovoltaic
410;04/01/2021 09:00;1.20;Wind
411;04/01/2021 10:00;1.76;Biomass
412;04/01/2021 10:00;0.62;Geothermal
413;04/01/2021 10:00;7.93;Hydro
414;04/01/2021 10:00;4.14;Photovoltaic
415;04/01/2021 10:00;1.47;Wind
416;04/01/2021 11:00;1.67;Biomass
417;04/01/2021 11:00;0.62;Geothermal
418;04/01/2021 11:00;6.79;Hydro
419;04/01/2021 11:00;4.17;Photovoltaic
420;04/01/2021 11:00;2.05;Wind
421;04/01/2021 12:00;1.58;Biomass
422;04/01/2021 12:00;0.62;Geothermal
423;04/01/2021 12:00;6.63;Hydro
424;04/01/2021 12:00;4.53;Photovoltaic
425;04/01/2021 12:00;2.23;Wind
426;04/01/2021 13:00;1.49;Biomass
427;04/01/2021 13:00;0.62;Geothermal
428;04/01/2021 13:00;6.35;Hydro
429;04/01/2021 13:00;4.57;Photovoltaic
430;04/01/2021 13:00;2.43;Wind
431;04/01/2021 14:00;1.58;Biomass
432;04/01/2021 14:00;0.62;Geothermal
433;04/01/2021 14:00;5.56;Hydro
434;04/01/2021 14:00;3.47;Photovoltaic
435;04/01/2021 14:00;2.58;Wind
436;04/01/2021 15:00;1.77;Biomass
437;04/01/2021 15:00;0.62;Geothermal
438;04/01/2021 15:00;6.57;Hydro
439;04/01/2021 15:00;1.82;Photovoltaic
440;04/01/2021 15:00;2.33;Wind
441;04/01/2021 16:00;1.88;Biomass
442;04/01/2021 16:00;0.62;Geothermal
443;04/01/2021 16:00;6.99;Hydro
444;04/01/2021 16:00;0.16;Photovoltaic
445;04/01/2021 16:00;2.28;Wind
446;04/01/2021 17:00;2.11;Biomass
447;04/01/2021 17:00;0.62;Geothermal
448;04/01/2021 17:00;7.65;Hydro
449;04/01/2021 17:00;0.00;Photovoltaic
450;04/01/2021 17:00;2.35;Wind
451;04/01/2021 18:00;2.09;Biomass
452;04/01/2021 18:00;0.62;Geothermal
453;04/01/2021 18:00;8.85;Hydro
454;04/01/2021 18:00;0.00;Photovoltaic
455;04/01/2021 18:00;2.35;Wind
456;04/01/2021 19:00;2.10;Biomass
457;04/01/2021 19:00;0.62;Geothermal
458;04/01/2021 19:00;8.47;Hydro
459;04/01/2021 19:00;0.00;Photovoltaic
460;04/01/2021 19:00;2.24;Wind
461;04/01/2021 20:00;1.82;Biomass
462;04/01/2021 20:00;0.62;Geothermal
463;04/01/2021 20:00;7.62;Hydro
464;04/01/2021 20:00;0.00;Photovoltaic
465;04/01/2021 20:00;2.32;Wind
466;04/01/2021 21:00;1.73;Biomass
467;04/01/2021 21:00;0.62;Geothermal
468;04/01/2021 21:00;5.13;Hydro
469;04/01/2021 21:00;0.00;Photovoltaic
470;04/01/2021 21:00;2.43;Wind
471;04/01/2021 22:00;1.66;Biomass
472;04/01/2021 22:00;0.62;Geothermal
473;04/01/2021 22:00;4.45;Hydro
474;04/01/2021 22:00;0.00;Photovoltaic
475;04/01/2021 22:00;2.39;Wind
476;04/01/2021 23:00;1.62;Biomass
477;04/01/2021 23:00;0.62;Geothermal
478;04/01/2021 23:00;4.01;Hydro
479;04/01/2021 23:00;0.00;Photovoltaic
480;04/01/2021 23:00;2.14;Wind
481;05/01/2021 00:00;1.67;Biomass
482;05/01/2021 00:00;0.62;Geothermal
483;05/01/2021 00:00;3.53;Hydro
484;05/01/2021 00:00;0.00;Photovoltaic
485;05/01/2021 00:00;1.93;Wind
486;05/01/2021 01:00;1.60;Biomass
487;05/01/2021 01:00;0.62;Geothermal
488;05/01/2021 01:00;3.33;Hydro
489;05/01/2021 01:00;0.00;Photovoltaic
490;05/01/2021 01:00;1.79;Wind
491;05/01/2021 02:00;1.53;Biomass
492;05/01/2021 02:00;0.62;Geothermal
493;05/01/2021 02:00;3.16;Hydro
494;05/01/2021 02:00;0.00;Photovoltaic
495;05/01/2021 02:00;1.74;Wind
496;05/01/2021 03:00;1.42;Biomass
497;05/01/2021 03:00;0.62;Geothermal
498;05/01/2021 03:00;3.07;Hydro
499;05/01/2021 03:00;0.00;Photovoltaic
500;05/01/2021 03:00;1.79;Wind
501;05/01/2021 04:00;1.40;Biomass
502;05/01/2021 04:00;0.62;Geothermal
503;05/01/2021 04:00;3.14;Hydro
504;05/01/2021 04:00;0.00;Photovoltaic
505;05/01/2021 04:00;1.92;Wind
506;05/01/2021 05:00;1.44;Biomass
507;05/01/2021 05:00;0.62;Geothermal
508;05/01/2021 05:00;3.25;Hydro
509;05/01/2021 05:00;0.00;Photovoltaic
510;05/01/2021 05:00;2.08;Wind
511;05/01/2021 06:00;1.52;Biomass
512;05/01/2021 06:00;0.62;Geothermal
513;05/01/2021 06:00;3.78;Hydro
514;05/01/2021 06:00;0.00;Photovoltaic
515;05/01/2021 06:00;2.32;Wind
516;05/01/2021 07:00;1.60;Biomass
517;05/01/2021 07:00;0.62;Geothermal
518;05/01/2021 07:00;5.17;Hydro
519;05/01/2021 07:00;0.10;Photovoltaic
520;05/01/2021 07:00;2.49;Wind
521;05/01/2021 08:00;1.70;Biomass
522;05/01/2021 08:00;0.62;Geothermal
523;05/01/2021 08:00;6.97;Hydro
524;05/01/2021 08:00;0.75;Photovoltaic
525;05/01/2021 08:00;2.73;Wind
526;05/01/2021 09:00;1.71;Biomass
527;05/01/2021 09:00;0.61;Geothermal
528;05/01/2021 09:00;7.75;Hydro
529;05/01/2021 09:00;1.67;Photovoltaic
530;05/01/2021 09:00;2.83;Wind
531;05/01/2021 10:00;1.71;Biomass
532;05/01/2021 10:00;0.62;Geothermal
533;05/01/2021 10:00;7.73;Hydro
534;05/01/2021 10:00;2.51;Photovoltaic
535;05/01/2021 10:00;3.25;Wind
536;05/01/2021 11:00;1.75;Biomass
537;05/01/2021 11:00;0.62;Geothermal
538;05/01/2021 11:00;7.49;Hydro
539;05/01/2021 11:00;2.72;Photovoltaic
540;05/01/2021 11:00;3.60;Wind
541;05/01/2021 12:00;1.73;Biomass
542;05/01/2021 12:00;0.62;Geothermal
543;05/01/2021 12:00;7.50;Hydro
544;05/01/2021 12:00;3.09;Photovoltaic
545;05/01/2021 12:00;3.98;Wind
546;05/01/2021 13:00;1.73;Biomass
547;05/01/2021 13:00;0.62;Geothermal
548;05/01/2021 13:00;6.68;Hydro
549;05/01/2021 13:00;3.46;Photovoltaic
550;05/01/2021 13:00;4.11;Wind
551;05/01/2021 14:00;1.66;Biomass
552;05/01/2021 14:00;0.62;Geothermal
553;05/01/2021 14:00;6.17;Hydro
554;05/01/2021 14:00;2.72;Photovoltaic
555;05/01/2021 14:00;4.21;Wind
556;05/01/2021 15:00;1.68;Biomass
557;05/01/2021 15:00;0.62;Geothermal
558;05/01/2021 15:00;6.85;Hydro
559;05/01/2021 15:00;1.01;Photovoltaic
560;05/01/2021 15:00;4.45;Wind
561;05/01/2021 16:00;1.82;Biomass
562;05/01/2021 16:00;0.62;Geothermal
563;05/01/2021 16:00;7.02;Hydro
564;05/01/2021 16:00;0.12;Photovoltaic
565;05/01/2021 16:00;4.45;Wind
566;05/01/2021 17:00;1.88;Biomass
567;05/01/2021 17:00;0.62;Geothermal
568;05/01/2021 17:00;8.70;Hydro
569;05/01/2021 17:00;0.00;Photovoltaic
570;05/01/2021 17:00;4.60;Wind
571;05/01/2021 18:00;1.93;Biomass
572;05/01/2021 18:00;0.62;Geothermal
573;05/01/2021 18:00;8.36;Hydro
574;05/01/2021 18:00;0.00;Photovoltaic
575;05/01/2021 18:00;4.35;Wind
576;05/01/2021 19:00;1.95;Biomass
577;05/01/2021 19:00;0.62;Geothermal
578;05/01/2021 19:00;7.73;Hydro
579;05/01/2021 19:00;0.00;Photovoltaic
580;05/01/2021 19:00;4.51;Wind
581;05/01/2021 20:00;1.89;Biomass
582;05/01/2021 20:00;0.62;Geothermal
583;05/01/2021 20:00;7.27;Hydro
584;05/01/2021 20:00;0.00;Photovoltaic
585;05/01/2021 20:00;4.73;Wind
586;05/01/2021 21:00;1.94;Biomass
587;05/01/2021 21:00;0.62;Geothermal
588;05/01/2021 21:00;5.63;Hydro
589;05/01/2021 21:00;0.00;Photovoltaic
590;05/01/2021 21:00;4.63;Wind
591;05/01/2021 22:00;1.83;Biomass
592;05/01/2021 22:00;0.62;Geothermal
593;05/01/2021 22:00;4.55;Hydro
594;05/01/2021 22:00;0.00;Photovoltaic
595;05/01/2021 22:00;4.71;Wind
596;05/01/2021 23:00;1.70;Biomass
597;05/01/2021 23:00;0.62;Geothermal
598;05/01/2021 23:00;4.25;Hydro
599;05/01/2021 23:00;0.00;Photovoltaic
600;05/01/2021 23:00;4.51;Wind
601;06/01/2021 00:00;1.44;Biomass
602;06/01/2021 00:00;0.62;Geothermal
603;06/01/2021 00:00;3.75;Hydro
604;06/01/2021 00:00;0.00;Photovoltaic
605;06/01/2021 00:00;4.18;Wind
606;06/01/2021 01:00;1.29;Biomass
607;06/01/2021 01:00;0.62;Geothermal
608;06/01/2021 01:00;3.77;Hydro
609;06/01/2021 01:00;0.00;Photovoltaic
610;06/01/2021 01:00;4.03;Wind
611;06/01/2021 02:00;1.27;Biomass
612;06/01/2021 02:00;0.62;Geothermal
613;06/01/2021 02:00;3.57;Hydro
614;06/01/2021 02:00;0.00;Photovoltaic
615;06/01/2021 02:00;3.84;Wind
616;06/01/2021 03:00;1.28;Biomass
617;06/01/2021 03:00;0.62;Geothermal
