"","Biomass","Geothermal","Hydro","Photovoltaic","Wind","date"
"1",1.57875,0.706666666666667,1.75208333333333,0.80125,0.140416666666667,2016-01-01
"2",1.68166666666667,0.696666666666667,1.635,0.499583333333333,1.89541666666667,2016-01-02
"3",1.50291666666667,0.694583333333333,1.79458333333333,0.845833333333333,4.04333333333333,2016-01-03
"4",1.8725,0.7,2.42958333333333,0.387083333333333,4.33541666666667,2016-01-04
"5",1.95416666666667,0.7,3.45541666666667,0.4725,2.95708333333333,2016-01-05
"6",1.69583333333333,0.700416666666667,2.38,0.61875,3.83041666666667,2016-01-06
"7",1.99458333333333,0.700416666666667,3.42083333333333,1.19875,3.80833333333333,2016-01-07
"8",2.065,0.694166666666667,3.37541666666667,0.839166666666667,3.48125,2016-01-08
"9",1.71833333333333,0.69,2.55583333333333,0.75125,3.28958333333333,2016-01-09
"10",1.50625,0.69,2.13458333333333,1.16,4.30666666666667,2016-01-10
"11",1.93333333333333,0.673333333333333,3.56458333333333,0.780833333333333,4.85083333333333,2016-01-11
"12",1.8625,0.675416666666667,3.94958333333333,1.72166666666667,5.06291666666667,2016-01-12
"13",2.05416666666667,0.679583333333333,3.78083333333333,1.89166666666667,3.95875,2016-01-13
"14",2.29,0.66875,3.59833333333333,0.894166666666667,2.99541666666667,2016-01-14
"15",2.24416666666667,0.658333333333333,3.67958333333333,1.2725,3.66583333333333,2016-01-15
"16",1.84125,0.697916666666667,2.76916666666667,1.23916666666667,3.7525,2016-01-16
"17",1.59958333333333,0.7,2.31583333333333,1.73458333333333,4.78833333333333,2016-01-17
"18",2.28666666666667,0.690833333333333,3.70333333333333,1.7475,3.46,2016-01-18
"19",2.4525,0.67875,3.72,1.4175,1.34458333333333,2016-01-19
"20",2.49208333333333,0.670833333333333,4.20916666666667,1.60041666666667,0.849583333333333,2016-01-20
"21",2.51791666666667,0.667916666666667,3.76375,1.48375,0.567083333333333,2016-01-21
"22",2.40291666666667,0.644166666666667,3.45041666666667,1.49875,0.668333333333333,2016-01-22
"23",1.98083333333333,0.68,2.71791666666667,1.53583333333333,0.870833333333333,2016-01-23
"24",1.72666666666667,0.68,1.88708333333333,1.79666666666667,1.85833333333333,2016-01-24
"25",2.23375,0.675416666666667,3.08291666666667,1.93333333333333,1.19041666666667,2016-01-25
"26",2.32666666666667,0.675833333333333,3.32458333333333,1.7725,1.3275,2016-01-26
"27",2.40958333333333,0.67625,3.50333333333333,1.56875,0.615,2016-01-27
"28",2.335,0.66875,3.26291666666667,1.16458333333333,0.408333333333333,2016-01-28
"29",2.35916666666667,0.6875,3.27125,1.45,0.430833333333333,2016-01-29
"30",1.85666666666667,0.69,2.21083333333333,1.00541666666667,1.57958333333333,2016-01-30
"31",1.3825,0.6775,1.66291666666667,1.20083333333333,4.71208333333333,2016-01-31
"32",2.27375,0.6875,3.015,1.23625,2.15333333333333,2016-02-01
"33",2.46375,0.672083333333333,3.2225,1.26125,1.87875,2016-02-02
"34",2.38166666666667,0.670416666666667,3.1025,0.8525,4.04708333333333,2016-02-03
"35",2.18416666666667,0.684166666666667,2.94041666666667,2.09625,5.1875,2016-02-04
"36",2.13083333333333,0.69375,3.09583333333333,2.53041666666667,3.54541666666667,2016-02-05
"37",1.75375,0.695,2.625,2.08916666666667,0.950416666666667,2016-02-06
"38",1.61625,0.6825,2.10708333333333,0.760416666666667,3.10708333333333,2016-02-07
"39",2.16291666666667,0.677083333333333,3.86,1.15041666666667,2.70083333333333,2016-02-08
"40",2.14833333333333,0.67875,3.43833333333333,1.21708333333333,4.5375,2016-02-09
"41",2.04833333333333,0.67875,3.64875,1.94166666666667,5.47041666666667,2016-02-10
"42",2.14,0.67875,3.95,2.00333333333333,2.56875,2016-02-11
"43",2.22583333333333,0.675833333333333,4.05666666666667,1.06583333333333,3.00208333333333,2016-02-12
"44",1.53666666666667,0.667916666666667,2.97625,1.85875,5.05708333333333,2016-02-13
"45",1.42291666666667,0.672916666666667,2.9375,0.758333333333333,4.23291666666667,2016-02-14
"46",2.00833333333333,0.67375,4.4675,1.28625,3.235,2016-02-15
"47",2.27791666666667,0.642083333333333,4.51083333333333,0.980833333333333,2.06291666666667,2016-02-16
"48",2.45375,0.67625,4.59166666666667,1.22083333333333,1.91375,2016-02-17
"49",2.37916666666667,0.67875,4.63583333333333,1.61166666666667,2.48541666666667,2016-02-18
"50",2.08125,0.69375,4.10375,2.55958333333333,3.47583333333333,2016-02-19
"51",1.6425,0.696666666666667,3.68208333333333,2.68541666666667,3.51041666666667,2016-02-20
"52",1.355,0.695,2.50875,2.62,3.20875,2016-02-21
"53",2.06916666666667,0.689166666666667,4.51833333333333,1.53625,2.16208333333333,2016-02-22
"54",2.00041666666667,0.683333333333333,4.18541666666667,1.43541666666667,3.2525,2016-02-23
"55",2.04541666666667,0.682083333333333,3.93375,2.18833333333333,2.57,2016-02-24
"56",2.135,0.680416666666667,4.04791666666667,1.48041666666667,2.49083333333333,2016-02-25
"57",2.03166666666667,0.690416666666667,4.79,1.58041666666667,1.97083333333333,2016-02-26
"58",1.58291666666667,0.689583333333333,3.4275,1.0075,2.49333333333333,2016-02-27
"59",1.41291666666667,0.69,3.18375,0.618333333333333,4.07,2016-02-28
"60",1.95208333333333,0.658333333333333,4.98291666666667,1.15291666666667,3.915,2016-02-29
"61",2.19791666666667,0.641666666666667,5.00291666666667,1.74083333333333,2.36083333333333,2016-03-01
"62",2.13416666666667,0.639583333333333,4.71458333333333,2.66791666666667,2.61875,2016-03-02
