	Year	Biomass	Geothermal	Hydro	Photovoltaic	Wind	date
70	2019	2.0675	0.6466667	3.2025	2.4095833	5.2495833	11/03/2019
71	2019	2.1770833	0.5875	4	3.3683333	5.3104167	12/03/2019
72	2019	2.4345833	0.63625	3.57875	2.4670833	3.29625	13/03/2019
73	2019	2.3629167	0.6316667	3.405	2.7520833	4.5554167	14/03/2019
74	2019	2.3320833	0.6466667	3.145	3.4695833	3.2458333	15/03/2019
75	2019	1.8325	0.6583333	2.0741667	3.04	3.8204167	16/03/2019
76	2019	1.9175	0.66	2.35875	2.3879167	1.9308333	17/03/2019
77	2019	2.1766667	0.66	3.165	2.6504167	2.7629167	18/03/2019
78	2019	2.5495833	0.6616667	3.2375	2.6345833	1.3275	19/03/2019
79	2019	2.4266667	0.6641667	2.4304167	2.90125	4.36	20/03/2019
80	2019	2.2929167	0.6633333	2.5683333	3.6204167	5.22125	21/03/2019
81	2019	2.21875	0.62	2.65625	3.5933333	3.72375	22/03/2019
82	2019	1.7525	0.6595833	2.5591667	3.9020833	2.3570833	23/03/2019
83	2019	1.7779167	0.6591667	2.4704167	3.90875	1.1425	24/03/2019
84	2019	2.0858333	0.66	2.7770833	3.7545833	3.345	25/03/2019
85	2019	2.23875	0.6479167	3.0241667	2.9170833	4.2616667	26/03/2019
86	2019	2.2275	0.66625	2.6195833	2.78	3.5529167	27/03/2019
87	2019	2.0795833	0.6666667	2.9870833	3.39	5.2095833	28/03/2019
88	2019	1.9954167	0.6620833	3.1341667	3.99625	3.6733333	29/03/2019
89	2019	1.7358333	0.66375	2.8175	4.0366667	2.3954167	30/03/2019
90	2019	1.7108696	0.6578261	2.7421739	4.2213043	0.6104348	31/03/2019
91	2019	2.4075	0.6445833	3.5504167	3.6204167	0.5133333	01/04/2019
92	2019	2.66125	0.6358333	3.4545833	2.6791667	0.8133333	02/04/2019
93	2019	2.6158333	0.6391667	4.07	2.02	2.1229167	03/04/2019
94	2019	2.5679167	0.6420833	4.2791667	1.395	3.8983333	04/04/2019
95	2019	2.3958333	0.64875	4.6225	2.3833333	2.6345833	05/04/2019
96	2019	1.9891667	0.6458333	3.89125	2.9125	0.7875	06/04/2019
97	2019	1.8991667	0.6433333	3.7491667	2.37875	1.51	07/04/2019
98	2019	2.32375	0.64375	4.7908333	2.9241667	2.51875	08/04/2019
99	2019	2.4566667	0.6408333	4.68875	3.0970833	2.7858333	09/04/2019
100	2019	2.3733333	0.6458333	4.9266667	2.9804167	3.19875	10/04/2019
101	2019	2.57875	0.6525	4.99625	1.995	1.4358333	11/04/2019
102	2019	2.4691667	0.66875	4.5116667	2.4879167	0.8491667	12/04/2019
103	2019	2.0791667	0.6683333	3.9870833	2.1395833	1.2933333	13/04/2019
104	2019	1.9120833	0.6683333	3.7479167	2.2720833	1.4645833	14/04/2019
105	2019	2.12625	0.67	4.4320833	3.52875	3.0495833	15/04/2019
106	2019	2.3375	0.6595833	4.5066667	3.7620833	0.77875	16/04/2019
107	2019	2.3725	0.65125	4.89375	4.03625	0.6641667	17/04/2019
108	2019	2.1029167	0.6566667	4.24125	4.1183333	1.9145833	18/04/2019
109	2019	1.8708333	0.6566667	4.3170833	4.2079167	1.85375	19/04/2019
110	2019	1.5558333	0.66875	4.1325	4.1475	2.38625	20/04/2019
111	2019	1.5166667	0.67	3.6041667	2.9570833	3.5395833	21/04/2019
112	2019	1.49375	0.6658333	3.9720833	2.0566667	4.1041667	22/04/2019
113	2019	2.1270833	0.6583333	5.6079167	1.5425	3.0808333	23/04/2019
114	2019	2.06375	0.66	6.0608333	3.0425	1.6158333	24/04/2019
115	2019	1.73875	0.66	6.1120833	3.12625	0.855	25/04/2019
116	2019	1.8133333	0.66	6.64375	2.8358333	1.99125	26/04/2019
117	2019	1.4908333	0.6616667	6.7158333	4.23875	3.0104167	27/04/2019
118	2019	1.4858333	0.6670833	5.8504167	3.4970833	3.5829167	28/04/2019
119	2019	2.0175	0.67	6.8625	2.8279167	2.7775	29/04/2019
120	2019	2.0666667	0.67	6.7925	3.9325	1.28	30/04/2019
121	2019	1.8229167	0.665	5.8495833	3.8654167	0.89625	01/05/2019
122	2019	2.30125	0.6620833	6.3525	4.1166667	1.11875	02/05/2019
123	2019	2.4004167	0.65875	6.19	2.67125	2.6941667	03/05/2019
124	2019	2.0783333	0.6641667	5.75875	2.1516667	1.5545833	04/05/2019
125	2019	1.7129167	0.6691667	5.42	2.2129167	4.3791667	05/05/2019
126	2019	2.06875	0.645	5.73125	3.515	4.6504167	06/05/2019
127	2019	2.2579167	0.6458333	6.0441667	4.0120833	2.5929167	07/05/2019
128	2019	2.49375	0.645	5.9104167	2.785	1.6204167	08/05/2019
129	2019	2.35125	0.63875	5.6641667	3.1429167	3.5258333	09/05/2019
130	2019	2.3425	0.66	5.685	3.9875	1.2058333	10/05/2019
131	2019	1.9470833	0.6616667	5.5058333	3.4025	1.2404167	11/05/2019
132	2019	1.76125	0.6579167	5.4933333	1.8675	2.4191667	12/05/2019
133	2019	2.4166667	0.6579167	6.70125	2.2108333	1.3058333	13/05/2019
134	2019	2.3783333	0.6595833	6.1595833	3.00875	2.8704167	14/05/2019
135	2019	2.4054167	0.6583333	7.0008333	2.48375	1.2095833	15/05/2019
136	2019	2.2666667	0.65	6.1320833	3.6604167	1.6425	16/05/2019
137	2019	2.28	0.6616667	6.2083333	3.7454167	1.1558333	17/05/2019
138	2019	1.8845833	0.66	5.36	1.84625	1.9783333	18/05/2019
139	2019	1.6408333	0.66	5.6025	2.3404167	2.1716667	19/05/2019
140	2019	2.0416667	0.6595833	6.5108333	2.7933333	3.3958333	20/05/2019
141	2019	1.9195833	0.65875	7.1425	3.6204167	3.6141667	21/05/2019
142	2019	1.90375	0.6595833	7.0279167	3.92	2.2216667	22/05/2019
143	2019	1.9154167	0.6554167	7.4983333	4.1104167	1.3645833	23/05/2019
144	2019	1.9266667	0.65375	7.54875	4.26	1.1875	24/05/2019
145	2019	1.4625	0.6633333	7.15	3.3658333	0.9616667	25/05/2019
146	2019	1.3483333	0.6625	7.51875	1.5479167	3.02375	26/05/2019
147	2019	1.7008333	0.6575	8.6804167	1.69	2.8	27/05/2019
148	2019	1.6925	0.6591667	8.39375	2.8754167	3.11	28/05/2019
149	2019	1.7429167	0.67	8.7908333	2.6216667	3.6654167	29/05/2019
150	2019	1.8616667	0.67	8.4825	3.6295833	1.1375	30/05/2019
151	2019	1.6816667	0.6704167	8.6566667	4.2420833	2.2533333	31/05/2019
152	2019	1.3245833	0.6720833	7.01625	4.20625	2.24	01/06/2019
153	2019	1.3470833	0.665	6.9770833	4.1154167	0.8875	02/06/2019
154	2019	1.6275	0.665	7.9383333	4.2395833	1.625	03/06/2019
155	2019	1.8229167	0.66875	8.52	4.2379167	0.86375	04/06/2019
156	2019	1.8070833	0.6670833	8.7425	4.1429167	0.87	05/06/2019
157	2019	1.7541667	0.6666667	9.0058333	3.64125	1.6595833	06/06/2019
158	2019	1.805	0.6658333	9.0358333	4.0945833	1.43375	07/06/2019
159	2019	1.4904167	0.65375	7.61625	4.04875	1.8545833	08/06/2019
160	2019	1.4329167	0.6554167	7.7541667	3.7129167	0.85875	09/06/2019
161	2019	1.90375	0.6533333	8.7858333	3.3379167	0.55375	10/06/2019
162	2019	2.0129167	0.6504167	8.2458333	3.6604167	1.0275	11/06/2019
163	2019	2.0404167	0.6495833	8.4279167	3.9991667	1.6383333	12/06/2019
164	2019	1.9779167	0.6575	8.5270833	4.3795833	0.9833333	13/06/2019
165	2019	1.8525	0.65	8.9670833	3.9358333	0.9545833	14/06/2019
166	2019	1.6295833	0.6495833	7.8220833	3.9825	1.4516667	15/06/2019
167	2019	1.3091667	0.6425	7.6966667	4.4904167	1.6204167	16/06/2019
168	2019	2.0391667	0.64	8.8433333	4.23625	0.69375	17/06/2019
169	2019	2.2920833	0.6179167	9.2920833	4.2179167	0.5979167	18/06/2019
170	2019	2.2791667	0.6054167	9.04	4.2129167	0.4154167	19/06/2019
171	2019	2.2404167	0.61875	8.7654167	4.2816667	0.7095833	20/06/2019
172	2019	2.4804167	0.6316667	8.3179167	4.0708333	0.5445833	21/06/2019
173	2019	1.8266667	0.6525	7.755	2.90125	1.5170833	22/06/2019
174	2019	1.4029167	0.6470833	7.1945833	4.20625	1.77625	23/06/2019
175	2019	2.0591667	0.64125	8.47125	4.225	2.18375	24/06/2019
176	2019	2.3470833	0.6420833	8.67875	4.23	3.0620833	25/06/2019
177	2019	2.5191667	0.6441667	9.3795833	4.1829167	2.5216667	26/06/2019
178	2019	2.7695833	0.6545833	8.7858333	4.1370833	1.8075	27/06/2019
179	2019	2.7891667	0.6466667	9.4054167	4.1479167	1.4354167	28/06/2019
180	2019	1.9579167	0.6525	7.9258333	4.3366667	2.7225	29/06/2019
181	2019	1.75375	0.6616667	7.6395833	4.4316667	1.0445833	30/06/2019
182	2019	2.085	0.6525	9.10125	4.1358333	0.2833333	01/07/2019
183	2019	2.2070833	0.6508333	9.1766667	4.1429167	0.4233333	02/07/2019
184	2019	2.3475	0.65	8.0445833	4.0720833	0.6154167	03/07/2019
185	2019	2.255	0.63875	8.69875	4.1516667	0.68625	04/07/2019
186	2019	2.325	0.6341667	7.9683333	4.1879167	0.52375	05/07/2019
187	2019	1.8179167	0.62875	7.25125	4.08625	1.0558333	06/07/2019
188	2019	1.58	0.60875	6.7729167	3.5670833	3.0204167	07/07/2019
189	2019	2.2066667	0.6179167	8.0275	3.7820833	2.1495833	08/07/2019
190	2019	2.2879167	0.63375	7.9316667	3.0345833	2.5141667	09/07/2019
191	2019	2.1529167	0.6279167	7.5033333	3.2770833	3.0595833	10/07/2019
192	2019	2.0233333	0.6425	7.4970833	3.56375	2.40625	11/07/2019
193	2019	2.09625	0.6341667	7.1879167	3.90375	1.0504167	12/07/2019
194	2019	1.6725	0.6566667	6.0745833	3.8320833	2.5575	13/07/2019
195	2019	1.4008333	0.6625	5.1579167	4.3183333	2.3279167	14/07/2019
196	2019	1.91	0.65625	7.0075	1.99125	1.55125	15/07/2019
197	2019	1.8270833	0.6629167	6.2679167	3.855	3.34625	16/07/2019
198	2019	2.0270833	0.6641667	6.45875	4.2775	2.06625	17/07/2019
199	2019	2.2	0.6633333	6.4375	3.7775	0.5904167	18/07/2019
200	2019	2.01875	0.6604167	7.3691667	4.1133333	0.4529167	19/07/2019
201	2019	1.67875	0.6533333	5.405	4.2516667	0.2629167	20/07/2019
202	2019	1.5533333	0.6566667	5	4.3108333	0.3645833	21/07/2019
203	2019	2.0391667	0.655	6.7475	4.0008333	1.09875	22/07/2019
204	2019	2.20875	0.6479167	6.8720833	4.1720833	2.35375	23/07/2019
205	2019	2.32125	0.6441667	7.3829167	4.1566667	1.5033333	24/07/2019
206	2019	2.4758333	0.64875	7.3325	4.11375	0.62125	25/07/2019
207	2019	2.4670833	0.6504167	7.1891667	4.1041667	0.6783333	26/07/2019
208	2019	1.84625	0.6316667	6.1729167	3.155	2.54125	27/07/2019
209	2019	1.43625	0.64125	5.7083333	2.645	5.1504167	28/07/2019
210	2019	2.0175	0.6458333	6.7295833	3.9141667	3.6041667	29/07/2019
211	2019	2.115	0.6304167	6.5670833	4.1616667	1.6508333	30/07/2019
212	2019	2.1958333	0.6358333	7.5483333	4.0504167	1.1758333	31/07/2019
213	2019	2.4629167	0.6545833	6.5825	3.9320833	1.0429167	01/08/2019
214	2019	2.2583333	0.6495833	6.5495833	3.3145833	1.6141667	02/08/2019
215	2019	1.79375	0.655	5.0795833	4.1566667	2.1679167	03/08/2019
216	2019	1.58375	0.6558333	5.0295833	4.12375	1.3829167	04/08/2019
217	2019	2.0254167	0.655	6.2508333	4.0633333	0.7408333	05/08/2019
218	2019	2.1108333	0.645	6.1654167	3.85	0.8270833	06/08/2019
219	2019	2.0120833	0.6545833	6.6916667	3.4445833	1.6283333	07/08/2019
220	2019	2.0325	0.645	6.3325	3.4145833	1.2820833	08/08/2019
221	2019	1.9620833	0.6529167	6.80875	3.8766667	1.3133333	09/08/2019
222	2019	1.9704167	0.6554167	6.0166667	3.9433333	0.5070833	10/08/2019
223	2019	1.9004167	0.6508333	5.8766667	3.9604167	0.6020833	11/08/2019
224	2019	1.9208333	0.6470833	6.5920833	3.14625	0.44	12/08/2019
225	2019	1.7208333	0.6458333	5.985	3.6025	1.0833333	13/08/2019
226	2019	1.4729167	0.645	5.8579167	3.6841667	3.4445833	14/08/2019
227	2019	1.50875	0.6525	4.90875	3.91375	2.6433333	15/08/2019
228	2019	1.6166667	0.65625	5.1425	4.08125	1.2183333	16/08/2019
