"","Year","Biomass","Geothermal","Hydro","Photovoltaic","Wind","date"
"1",2020,1.2941667,0.66,4.0066667,1.9120833,3.5079167,2020-01-01
"2",2020,1.7454167,0.6529167,4.97875,1.9166667,2.615,2020-01-02
"3",2020,1.8145833,0.65375,4.9233333,1.5016667,1.3708333,2020-01-03
"4",2020,1.6725,0.6691667,4.245,1.4279167,2.2679167,2020-01-04
"5",2020,1.5341667,0.6695833,3.9079167,1.8925,4.8566667,2020-01-05
"6",2020,1.5445833,0.6575,4.8270833,1.8575,4.3566667,2020-01-06
"7",2020,2.31625,0.6658333,5.7695833,1.33875,2.5458333,2020-01-07
"8",2020,2.2116667,0.655,5.15875,1.475,2.4358333,2020-01-08
"9",2020,2.2670833,0.6641667,6.0004167,1.80375,0.7758333,2020-01-09
"10",2020,2.35125,0.6666667,5.7329167,1.7429167,0.8120833,2020-01-10
"11",2020,1.9541667,0.6695833,3.9220833,1.7679167,1.5754167,2020-01-11
"12",2020,1.73375,0.6675,3.9854167,1.7683333,1.67875,2020-01-12
"13",2020,2.0758333,0.66625,5.7175,1.5308333,0.4654167,2020-01-13
"14",2020,2.2179167,0.6304167,5.6004167,1.2704167,0.3283333,2020-01-14
"15",2020,2.3125,0.6266667,5.3025,1.5520833,0.3045833,2020-01-15
"16",2020,2.3404167,0.66125,4.80625,1.6933333,1.7633333,2020-01-16
"17",2020,2.30875,0.66625,4.87625,1.8979167,1.4279167,2020-01-17
"18",2020,2.04625,0.6633333,4.4325,1.025,2.9570833,2020-01-18
"19",2020,1.8675,0.67,3.0454167,1.5429167,2.4533333,2020-01-19
"20",2020,2.34625,0.6558333,4.25,1.41875,4.21875,2020-01-20
"21",2020,2.4204167,0.6504167,4.7766667,1.7691667,3.1516667,2020-01-21
"22",2020,2.415,0.65375,5.37125,2.0895833,1.36625,2020-01-22
"23",2020,2.5041667,0.6491667,5.2754167,2.08375,1.3920833,2020-01-23
"24",2020,2.2595833,0.65375,5.1104167,1.50125,1.7345833,2020-01-24
"25",2020,1.8708333,0.6508333,3.7083333,1.0233333,1.685,2020-01-25
"26",2020,1.71125,0.6591667,3.27375,1.1095833,0.7525,2020-01-26
"27",2020,2.1029167,0.66,4.6904167,2.0175,2.05,2020-01-27
"28",2020,2.2554167,0.66,4.3383333,1.1658333,5.6720833,2020-01-28
"29",2020,2.3175,0.66,4.3604167,2.1425,5.0504167,2020-01-29
"30",2020,2.18875,0.655,4.185,2.27625,1.9329167,2020-01-30
