	Year	Biomass	Geothermal	Hydro	Photovoltaic	Wind	date
1	2017	1.645	0.6845833	1.9791667	1.2075	0.82	01/01/2017
2	2017	1.8254167	0.6754167	3.2141667	1.3341667	2.03875	02/01/2017
3	2017	2.0029167	0.6808333	3.4908333	1.1358333	3.1858333	03/01/2017
4	2017	1.9883333	0.685	3.4029167	1.4216667	2.5591667	04/01/2017
5	2017	1.8691667	0.68875	3.26625	1.2620833	5.2479167	05/01/2017
6	2017	1.7516667	0.69	2.5620833	1.5370833	5.2054167	06/01/2017
7	2017	1.7883333	0.68625	2.4866667	1.53125	4.5691667	07/01/2017
8	2017	1.765	0.6804167	2.12875	1.07625	3.10625	08/01/2017
9	2017	2.0058333	0.6841667	4.0658333	1.53625	3.1475	09/01/2017
10	2017	2.0920833	0.6733333	4.31625	0.63	1.1475	10/01/2017
11	2017	2.1058333	0.6770833	4.6604167	1.40375	1.6483333	11/01/2017
12	2017	2.0020833	0.6795833	4.6725	0.8408333	3.11125	12/01/2017
13	2017	1.8729167	0.67625	4.1629167	0.52875	5.555	13/01/2017
14	2017	1.8095833	0.6891667	2.72875	1.77125	3.125	14/01/2017
15	2017	1.8520833	0.6879167	2.1891667	0.9608333	1.6825	15/01/2017
16	2017	2.06625	0.6741667	4.1595833	1.0975	1.8825	16/01/2017
17	2017	2.14875	0.6695833	4.46	0.8941667	2.46875	17/01/2017
18	2017	2.1216667	0.6670833	4.1733333	1.0941667	1.84375	18/01/2017
19	2017	2.0554167	0.6695833	4.0466667	1.4808333	2.4079167	19/01/2017
20	2017	2.0345833	0.6691667	4.1904167	1.69375	2.38625	20/01/2017
21	2017	1.91875	0.67	3.0504167	1.5141667	3.1354167	21/01/2017
22	2017	1.7845833	0.67	2.54375	1.1825	3.1641667	22/01/2017
23	2017	2.16	0.6454167	4.47625	0.9104167	2.4983333	23/01/2017
24	2017	2.1179167	0.6675	4.995	1.33125	1.97375	24/01/2017
25	2017	2.1170833	0.67875	4.86625	1.8966667	2.17875	25/01/2017
26	2017	2.2045833	0.6883333	4.81875	1.5925	0.9333333	26/01/2017
27	2017	2.1175	0.6875	4.4633333	1.5483333	0.9575	27/01/2017
28	2017	1.80625	0.6825	2.73875	1.0870833	0.8695833	28/01/2017
29	2017	1.7004167	0.6833333	2.3170833	1.6020833	0.7370833	29/01/2017
30	2017	2.02875	0.68	3.4625	1.4745833	0.4125	30/01/2017
31	2017	2.1129167	0.68	3.78875	1.1033333	1.4808333	31/01/2017
32	2017	2.2641667	0.6591667	3.89125	0.9220833	3.0520833	01/02/2017
33	2017	2.21625	0.67875	3.7479167	0.78625	2.62125	02/02/2017
34	2017	2.0070833	0.68	4.0083333	1.1595833	3.90125	03/02/2017
35	2017	1.55875	0.68	2.9475	0.7858333	5.0370833	04/02/2017
36	2017	1.4466667	0.68	2.8025	0.6920833	4.8083333	05/02/2017
37	2017	1.9658333	0.6725	4.9466667	0.72875	4.2554167	06/02/2017
38	2017	2.1375	0.6679167	4.0116667	1.8229167	1.8429167	07/02/2017
39	2017	2.2195833	0.6683333	4.5579167	1.205	0.7933333	08/02/2017
40	2017	2.2245833	0.6741667	4.1304167	0.8654167	2.58875	09/02/2017
41	2017	2.2979167	0.67	4.4979167	1.1104167	1.2145833	10/02/2017
42	2017	1.9245833	0.68125	2.7079167	1.6645833	0.76625	11/02/2017
